-62117322.5769868121	  inf
-55945823.7056387290	9.93523e-02
-55083452.9255765378	1.54144e-02
-54765108.6605709642	5.77931e-03
-54601721.5760622099	2.98342e-03
-54501059.4620925784	1.84357e-03
-54432194.0654407889	1.26356e-03
-54380781.8030395880	9.44519e-04
-54339501.7849659324	7.59092e-04
-54304337.6828283072	6.47119e-04
-54273713.6972136647	5.63933e-04
-54245370.4548455477	5.22228e-04
-54218634.1044087037	4.92878e-04
-54193510.5250408351	4.63375e-04
-54169757.9370349348	4.38292e-04
-54147755.5817841515	4.06174e-04
-54127555.9290197641	3.73047e-04
-54109162.0666489378	3.39824e-04
-54092825.5986488089	3.01917e-04
-54078009.4257386848	2.73903e-04
-54064551.9602065980	2.48853e-04
-54052237.8678731546	2.27766e-04
-54041239.1895850748	2.03482e-04
-54031496.9529530033	1.80274e-04
-54022804.1780506000	1.60883e-04
-54015073.1989952251	1.43106e-04
-54007976.6760581508	1.31380e-04
-54001493.8678011745	1.20034e-04
